Master Index,before_after,date_diff,flight_length,label,hierarchy,fold,class,target_class,hclass,number_flights_before
1,1,-1,4723.0,intake gasket leak/damage,,0,10,10,0,0
2,1,-2,4649.0,intake gasket leak/damage,,0,10,10,0,3
7,0,1,3482.0,intake gasket leak/damage,,0,10,0,0,-1
9,1,-1,4979.0,intake gasket leak/damage,,0,10,10,0,0
11,0,2,5204.0,intake gasket leak/damage,,0,10,0,0,-1
20,0,1,4870.0,intake gasket leak/damage,,0,10,0,0,-1
22,0,1,5149.0,intake gasket leak/damage,,0,10,0,0,-1
25,0,1,4216.0,intake gasket leak/damage,,0,10,0,0,-1
28,1,-2,9962.0,intake gasket leak/damage,,0,10,10,0,2
32,0,1,5569.0,intake gasket leak/damage,,0,10,0,0,-1
35,0,1,4590.0,intake gasket leak/damage,,0,10,0,0,-1
41,0,2,4823.0,intake gasket leak/damage,,0,10,0,0,-1
44,1,-2,6820.0,intake gasket leak/damage,,0,10,10,0,2
50,0,1,5912.0,intake gasket leak/damage,,0,10,0,0,-1
51,1,-2,5969.0,intake gasket leak/damage,,0,10,10,0,4
61,0,1,7527.0,intake gasket leak/damage,,0,10,0,0,-1
66,1,-1,5055.0,intake gasket leak/damage,,0,10,10,0,1
69,1,-2,6175.0,intake gasket leak/damage,,0,10,10,0,4
71,0,1,2269.0,intake gasket leak/damage,,0,10,0,0,-1
81,0,1,5414.0,intake gasket leak/damage,,0,10,0,0,-1
82,1,-2,1835.0,intake gasket leak/damage,,0,10,10,0,3
90,1,-1,6218.0,intake gasket leak/damage,,0,10,10,0,1
93,0,2,6702.0,intake gasket leak/damage,,0,10,0,0,-1
95,0,2,4260.0,intake gasket leak/damage,,0,10,0,0,-1
99,0,1,1695.0,intake gasket leak/damage,,0,10,0,0,-1
100,0,1,4511.0,intake gasket leak/damage,,0,10,0,0,-1
104,0,1,11361.0,intake gasket leak/damage,,0,10,0,0,-1
105,0,1,5570.0,intake gasket leak/damage,,0,10,0,0,-1
107,1,-1,5941.0,intake gasket leak/damage,,0,10,10,0,2
109,0,1,7110.0,intake gasket leak/damage,,0,10,0,0,-1
111,1,-1,3449.0,intake gasket leak/damage,,0,10,10,0,0
112,0,1,5991.0,intake gasket leak/damage,,0,10,0,0,-1
118,1,-2,4683.0,intake gasket leak/damage,,0,10,10,0,1
121,1,-2,5676.0,intake gasket leak/damage,,0,10,10,0,0
128,1,-2,8388.0,intake gasket leak/damage,,0,10,10,0,4
131,0,2,6519.0,intake gasket leak/damage,,0,10,0,0,-1
135,0,1,5367.0,intake gasket leak/damage,,0,10,0,0,-1
142,1,-2,1695.0,intake gasket leak/damage,,0,10,10,0,4
147,0,1,5601.0,intake gasket leak/damage,,0,10,0,0,-1
148,0,1,8965.0,intake gasket leak/damage,,0,10,0,0,-1
149,0,1,5564.0,intake gasket leak/damage,,0,10,0,0,-1
157,1,-2,4916.0,intake gasket leak/damage,,0,10,10,0,2
169,1,-2,7608.0,intake gasket leak/damage,,0,10,10,0,1
171,0,1,5314.0,intake gasket leak/damage,,0,10,0,0,-1
173,0,1,4106.0,intake gasket leak/damage,,0,10,0,0,-1
175,1,-2,2844.0,intake gasket leak/damage,,0,10,10,0,0
181,1,-1,4341.0,intake gasket leak/damage,,0,10,10,0,3
188,0,2,9436.0,intake gasket leak/damage,,0,10,0,0,-1
189,0,1,3391.0,intake gasket leak/damage,,0,10,0,0,-1
193,1,-2,5601.0,intake gasket leak/damage,,0,10,10,0,4
197,0,1,6658.0,intake gasket leak/damage,,0,10,0,0,-1
202,1,-1,5736.0,intake gasket leak/damage,,0,10,10,0,2
203,1,-1,8557.0,intake gasket leak/damage,,0,10,10,0,2
205,1,-1,5054.0,intake gasket leak/damage,,0,10,10,0,2
211,0,2,4683.0,intake gasket leak/damage,,0,10,0,0,-1
214,1,-2,5975.0,intake gasket leak/damage,,0,10,10,0,2
217,0,2,9856.0,intake gasket leak/damage,,0,10,0,0,-1
219,0,1,6143.0,intake gasket leak/damage,,0,10,0,0,-1
223,0,2,5849.0,intake gasket leak/damage,,0,10,0,0,-1
226,0,2,5181.0,intake gasket leak/damage,,0,10,0,0,-1
227,1,-1,4108.0,intake gasket leak/damage,,0,10,10,0,0
233,0,2,5754.0,intake gasket leak/damage,,0,10,0,0,-1
